"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Austria","AUT","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.34721375","13.24102306","13.48015594","13.56052971","12.99621677","13.6456871","13.7701931","14.05502892","14.36129475","13.75156307","13.96296597","14.30461502","14.47297001","14.29295731","14.50227928","14.78765869","14.90473557","15.48637295","15.7661314","16.07105827","15.19771099","16.88867569","16.32946968","16.19283485","","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75029039","4.79820633","3.19315743","3.57235146","3.55759931","3.95949173","3.42998004","3.49033976","2.75191212","3.28483939","3.17126107","2.81601381","3.04532456","2.82228613","3.10700679","3.37282634","3.28987098","2.82377267","2.67803526","3.28792715","5.79771805","4.60517836","3.64107466","4.2580843","","",
"Burundi","BDI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94454002","6.66263866","6.37957811","3.71581554","5.80384302","6.223104","6.48141956","6.32315588","3.78774738","5.4775238","4.86066389","8.22791386","7.11028194","4.43170166","9.79248333","10.44351768","9.90449238","8.35758591","7.90786219","7.90786219","7.33287811","7.33287811","4.72897339","4.72897339","","",
"Belgium","BEL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.06895447","12.43329906","12.28861809","13.30091095","14.17946815","13.29590225","13.94907475","13.94859219","14.31038952","14.38507843","14.42341805","14.23829556","14.21285248","14.30918312","14.49872303","15.34535408","15.57960796","15.91768551","15.87873363","15.62112808","14.92717075","15.45464802","15.18703079","14.93056774","","",
"Benin","BEN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25110769","7.77235079","6.13154125","7.68920326","8.63661289","7.41133642","8.17379951","6.03954124","5.10336447","5.1059413","5.34460402","4.4236145","5.24633551","5.1338048","4.04459238","3.25478005","4.62731457","3.97174382","4.02434921","3.12481403","2.68062353","1.68089795","2.55340433","2.55340433","","",
"Burkina Faso","BFA","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84836864","4.94217682","5.43493128","5.56972933","8.39099884","6.04864025","6.54068851","6.27068281","7.32152605","7.62939405","6.03235245","6.58739376","4.69605875","6.38293219","7.77367115","7.15264177","11.03399372","10.2352047","8.78502369","9.57691097","11.64750004","9.83841515","8.39684868","8.77536201","","",
"Bangladesh","BGD","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21146441","3.57855344","4.5399313","4.7553134","4.86526632","4.38883734","4.7282033","5.07518816","3.84091425","4.11533833","4.43941641","4.18159103","4.01620436","3.61745524","3.59245324","3.37688875","4.09935808","4.10705233","3.75035429","2.66421318","2.67329168","3.00425434","2.623276","2.47161961","","",
"Bulgaria","BGR","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.07666683","9.46551609","10.74446106","11.33319283","10.82743073","11.16988087","10.79413986","9.10506821","9.39310265","9.03616238","10.84995937","11.41062927","11.17939663","10.69857979","10.36410141","10.23375225","11.82779217","11.83658028","11.4341774","11.55380249","12.21726608","13.31113911","11.57172585","12.82675457","","",
"Bahrain","BHR","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.26810646","9.03064537","8.22115707","8.75817966","9.0417614","9.13842487","8.94466305","9.06652737","8.83426571","11.16572762","8.23034191","8.0526104","8.29804993","8.45688343","10.09125328","8.8659935","8.52599049","7.97665834","7.23445129","7.06051159","8.29461861","9.00746346","8.64387417","8.48867416","","",
"Bahamas, The","BHS","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.34992313","13.96301937","13.40527344","13.80926418","13.04177284","12.86341","12.72621727","13.49935532","14.47344971","15.00968552","15.44239426","13.89659977","14.0604248","14.02134514","14.2129097","12.83696079","13.88535404","15.59642696","14.34790039","14.13741302","14.91028023","12.32061958","15.76340008","13.4813118","","",
